fc2.com:smselect:8BC9CB7EF82CF4D15B387083E356C7AB13578E23;20090125	0.972
fc2.com:frc9stbh8qp:0A3E04B70B06FF00F0B072E68A87488A995F5D66;20090125	0.766
yaplog.jp:ms38:B1898226F5BBFE1763ABCC06A359A2190BBEDBB9;20090125	0.901
fc2.com:v44zq332o13:80A79236F2022BDCBCED1AE0A541304EABBCFCB6;20090125	0.996
fc2.com:aghyiuh:B8C183F8CAB710EEA04A2C3B15C56111B5583D80;20090125	0.878
jugem.jp:gesco6:1585891C8ED02517E61264C490EF15365F158225;20090125	0.995
fc2.com:yuiyui2009:0A0F25AB7AE80A5E33C734B6C5185CD1052B871E;20090125	0.973
fc2.com:pjtgqjab:99E95C46E2999DE26DCB8D7EB2C92E1391116A8A;20090125	1.000
fc2.com:honnoyomerusaru:1605A2C2914389A4A02FA1D0FA709E6D2C688FEA;20090125	0.932
yaplog.jp:hjim016a:6C473AC8F87A286CEBF98BD6324BDC16A9FD644C;20090125	0.994
